Column1;Column2;Helyiség;Total_car_count;car_count_less_than_10_years
Kereskedés neve;URL;Budapest;;
555 autó;/partner/555_auto-16834;Budapest;;
A 111 Autó;/partner/a_111_auto-9972;Budapest;;
A Ba-Ro Autókereskedés;/partner/a_ba-ro_autokereskedes-11402;Budapest;;
A Kedvenc;/partner/a_kedvenc-10304;Budapest;;
A MEGBÍZHATÓ Kereskedésem Kft.;/partner/a_megbizhato_kereskedesem_kft-16587;Budapest;;
A-Z Autókereskedés;/partner/a-z_autokereskedes-10126;Budapest;;
A.T.B. Kft.;/partner/atb_kft-386;Budapest;;
A'P'R Autóudvar Group Kft.;/partner/apr_autoudvar_group_kft-13892;Budapest;;
ÁBL Autópark;/partner/abl_autopark-1317;Budapest;;
Abszolút Autó Budapest;/partner/abszolut_auto_budapest-16082;Budapest;;
Aero-Car;/partner/aero-car-25;Budapest;;
AGR Auto Kft.;/partner/agr_auto_kft-41;Budapest;;
AIR RENT Kft.;/partner/air_rent_kft-19718;Budapest;;
Akadalymentesautok;/partner/akadalymentesautok-19076;Budapest;;
Alba7 Autóudvar;/partner/alba7_autoudvar-13269;Budapest;;
All Car;/partner/all_car-13482;Budapest;;
Alpár Autó Autókereskedés;/partner/alpar_auto_autokereskedes-18205;Budapest;;
Andres Car Kft.;/partner/andres_car_kft-19472;Budapest;;
Ari-Car Kft;/partner/ari-car_kft-1015;Budapest;;
ARIEL;/partner/ariel-18728;Budapest;;
Artik 98 Kft.;/partner/artik_98_kft-203;Budapest;;
ASK Mobil Kft.;/partner/ask_mobil_kft-13059;Budapest;;
Aston Martin Budapest;/partner/aston_martin_budapest-17108;Budapest;;
ATH MOTO SPORT Kft.;/partner/ath_moto_sport_kft-19350;Budapest;;
ATKHELP s.r.o.;/partner/atkhelp_sro-19625;Budapest;;
Atrium Autó;/partner/atrium_auto-3109;Budapest;;
ATT Kft.;/partner/att_kft-3618;Budapest;;
Auto 26;/partner/auto_26-17481;Budapest;;
Auto Bravo 2002 Kft.;/partner/auto_bravo_2002_kft-17495;Budapest;;
Autó Derzbach;/partner/auto_derzbach-14083;Budapest;;
Auto Elegance;/partner/auto_elegance-51;Budapest;;
Autó Everest Kft.;/partner/auto_everest_kft-172;Budapest;;
AUTO EXXPO;/partner/auto_exxpo-382;Budapest;;
Autó Gobuda;/partner/auto_gobuda-18319;Budapest;;
AUTO HOUSE Kft.;/partner/auto_house_kft-351;Budapest;;
Autó Inter Trans Kft.;/partner/auto_inter_trans_kft-154;Budapest;;
Autó Mobil Park Kft.;/partner/auto_mobil_park_kft-19663;Budapest;;
Autó Néro Kelenföld Kft.;/partner/auto_nero_kelenfold_kft-104;Budapest;;
Auto Palace Buda;/partner/auto_palace_buda-8543;Budapest;;
Auto Palace Buda használtautó értékesítés;/partner/auto_palace_buda_hasznaltauto_ertekesites-17412;Budapest;;
Auto Palace Buda Szalon;/partner/auto_palace_buda_szalon-10509;Budapest;;
Auto Palace Délpest - Használtautó értékesítés;/partner/auto_palace_delpest_-_hasznaltauto_ertekesites-5507;Budapest;;
Auto Palace Délpest - Opel;/partner/auto_palace_delpest_-_opel-5508;Budapest;;
Auto Palace Délpest- Hyundai;/partner/auto_palace_delpest-_hyundai-17490;Budapest;;
Auto Park Maxabo;/partner/auto_park_maxabo-682;Budapest;;
Auto Rusznak Kft;/partner/auto_rusznak_kft-17663;Budapest;;
Auto Side;/partner/auto_side-178;Budapest;;
Auto Trust Kft.;/partner/auto_trust_kft-10516;Budapest;;
Autó Újpest Kft.;/partner/auto_ujpest_kft-94;Budapest;;
Auto Veritas;/partner/auto_veritas-3502;Budapest;;
Autó West Wind Kft.;/partner/auto_west_wind_kft-105;Budapest;;
